SYMBOL,LTP,%CHNG,VOLUME
DRREDDY,"3,837.10",3.18,"10,52,623"
ITC,226.05,3.03,"5,91,30,115"
TECHM,"1,457.40",2.16,"26,90,811"
SUNPHARMA,837.00,1.96,"33,13,207"
ULTRACEMCO,"6,075.85",1.59,"12,03,685"
