SYMBOL,LTP,%CHNG,VOLUME
JSWSTEEL,666.00,2.34,"22,83,535"
TATASTEEL,"1,330.60",1.67,"36,94,709"
SUNPHARMA,882.60,1.50,"3,86,346"
AXISBANK,703.00,1.16,"28,10,211"
BAJAJFINSV,"15,605.60",0.89,"78,649"
